election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
130459,2016,State Representative,4th Bristol,-24.540713245313157,-24.54071324531316,-3.552713678800501e-15
165440,2024,State Representative,1st Barnstable,13.081911386443501,13.081911386443505,3.552713678800501e-15
130306,2016,State Senate,"Norfolk, Bristol and Middlesex",-20.14627258354554,-20.146272583545542,-3.552713678800501e-15
140788,2020,State Representative,18th Essex,24.734764818771044,24.734764818771048,3.552713678800501e-15
154498,2022,State Senate,First Plymouth & Norfolk,-21.250171281936293,-21.250171281936296,-3.552713678800501e-15
140962,2020,State Representative,9th Norfolk,-17.041136321711864,-17.04113632171186,3.552713678800501e-15
154437,2022,State Representative,12th Worcester,20.758843146902844,20.758843146902848,3.552713678800501e-15
131583,2018,State Representative,5th Worcester,-18.97676548014193,-18.976765480141925,3.552713678800501e-15
154576,2022,State Representative,11th Worcester,-17.195666029318033,-17.195666029318037,-3.552713678800501e-15
131503,2018,State Representative,7th Plymouth,-11.596803131626165,-11.596803131626162,3.552713678800501e-15
140837,2020,State Senate,Worcester and Norfolk,-20.968743072489467,-20.96874307248947,-3.552713678800501e-15
140903,2020,State Senate,Plymouth and Norfolk,-10.008302161360438,-10.008302161360435,3.552713678800501e-15
131717,2018,State Representative,9th Norfolk,-17.551060295123616,-17.55106029512362,-3.552713678800501e-15
131571,2018,State Senate,Bristol and Norfolk,21.12773902220164,21.127739022201638,-3.552713678800501e-15
154378,2022,State Senate,2nd Essex and Middlesex,14.70250340644954,14.702503406449544,3.552713678800501e-15
140912,2020,State Representative,6th Plymouth,18.37973933649289,18.379739336492893,3.552713678800501e-15
140828,2020,State Representative,5th Barnstable,-4.288506495995098,-4.288506495995095,3.552713678800501e-15
140961,2020,State Representative,4th Plymouth,31.98345308077509,31.983453080775092,3.552713678800501e-15
140776,2020,State Representative,3rd Hampden,-24.87901949256026,-24.879019492560264,-3.552713678800501e-15
140805,2020,State Representative,1st Middlesex,-3.108160874658333,-3.1081608746583367,-3.552713678800501e-15
140742,2020,State Senate,2nd Hampden and Hampshire,28.44866000381947,28.448660003819466,-3.552713678800501e-15
140743,2020,State Representative,3rd Bristol,14.29315282478521,14.293152824785214,3.552713678800501e-15
154537,2022,State Representative,17th Worcester,18.402994385527133,18.402994385527137,3.552713678800501e-15
131580,2018,State Representative,5th Barnstable,-14.399403133548866,-14.39940313354887,-3.552713678800501e-15
154385,2022,State Representative,18th Essex,20.8388746803069,20.838874680306905,3.552713678800501e-15
154583,2022,State Representative,19th Middlesex,12.596824699225406,12.596824699225403,-3.552713678800501e-15
130517,2018,State Representative,2nd Bristol,4.0146943059564455,4.014694305956442,-3.552713678800501e-15
154478,2022,State Representative,9th Plymouth,21.291075247909784,21.29107524790978,-3.552713678800501e-15
154533,2022,State Representative,8th Middlesex,30.050848310929872,30.05084831092987,-3.552713678800501e-15
131699,2018,State Representative,17th Worcester,18.709677419354836,18.70967741935484,3.552713678800501e-15
140986,2020,State Representative,19th Middlesex,12.850187564849547,12.85018756484955,3.552713678800501e-15
131581,2018,State Representative,1st Barnstable,-17.040745856353595,-17.040745856353592,3.552713678800501e-15
154586,2022,State Representative,4th Norfolk,27.92365745649598,27.923657456495977,-3.552713678800501e-15
154369,2022,State Representative,3rd Hampden,-19.98918334234721,-19.989183342347214,-3.552713678800501e-15
131649,2018,State Representative,2nd Middlesex,28.837837837837842,28.83783783783784,-3.552713678800501e-15
154512,2022,State Representative,3rd Bristol,14.059941624546163,14.059941624546166,3.552713678800501e-15
131647,2018,State Representative,2nd Plymouth,-13.45820326049254,-13.458203260492544,-3.552713678800501e-15
154469,2022,State Representative,3rd Barnstable,-10.844738906808477,-10.844738906808473,3.552713678800501e-15
154412,2022,State Representative,2nd Bristol,21.10983981693364,21.109839816933636,-3.552713678800501e-15
131672,2018,State Representative,3rd Bristol,-23.020149088493614,-23.020149088493618,-3.552713678800501e-15
154376,2022,State Representative,1st Essex,19.27076047932112,19.270760479321115,-3.552713678800501e-15
154503,2022,State Representative,5th Bristol,8.727604008502881,8.727604008502885,3.552713678800501e-15
165362,2024,State Senate,Worcester and Middlesex,18.208344118408355,18.20834411840836,3.552713678800501e-15
130401,2016,State Representative,12th Plymouth,19.870717517776338,19.87071751777634,3.552713678800501e-15
112849,2012,State Representative,11th Plymouth,26.54553512076224,26.545535120762242,3.552713678800501e-15
105584,2010,State Representative,5th Worcester,30.782562325023328,30.78256232502333,3.552713678800501e-15
105597,2010,State Representative,6th Essex,20.61958032700073,20.619580327000726,-3.552713678800501e-15
105706,2010,State Representative,8th Essex,23.88623486279302,23.886234862793025,3.552713678800501e-15
112795,2012,State Senate,3rd Middlesex,21.190405831363275,21.19040583136328,3.552713678800501e-15
126189,2014,State Representative,3rd Middlesex,20.511565291885937,20.51156529188594,3.552713678800501e-15
126261,2014,State Representative,3rd Bristol,-22.689679971233367,-22.68967997123337,-3.552713678800501e-15
105530,2010,State Senate,1st Essex,17.95056026002908,17.950560260029082,3.552713678800501e-15
126329,2014,State Representative,31st Middlesex,2.8343224804481704,2.834322480448167,-3.552713678800501e-15
105596,2010,State Senate,1st Worcester,24.457548078775964,24.457548078775968,3.552713678800501e-15
105586,2010,State Senate,3rd Middlesex,14.020465292824497,14.020465292824493,-3.552713678800501e-15
105543,2010,State Senate,Cape and Islands,14.896394609192015,14.896394609192019,3.552713678800501e-15
105505,2010,State Senate,Middlesex and Worcester,14.248266402499432,14.248266402499429,-3.552713678800501e-15
112941,2012,State Representative,12th Norfolk,21.448225923244024,21.448225923244028,3.552713678800501e-15
105732,2010,State Representative,4th Bristol,-8.958306441203051,-8.958306441203048,3.552713678800501e-15
112861,2012,State Representative,2nd Middlesex,30.197334256534532,30.197334256534536,3.552713678800501e-15
112954,2012,State Representative,31st Middlesex,19.68173846088035,19.681738460880354,3.552713678800501e-15
112877,2012,State Representative,36th Middlesex,17.134681604345502,17.134681604345506,3.552713678800501e-15
126183,2014,State Representative,12th Worcester,10.934134081859126,10.93413408185913,3.552713678800501e-15
126316,2014,State Representative,12th Norfolk,16.246242321265193,16.246242321265196,3.552713678800501e-15
112728,2012,State Representative,3rd Hampden,-22.388216176547672,-22.388216176547676,-3.552713678800501e-15
112810,2012,State Representative,3rd Middlesex,28.301198778431107,28.301198778431104,-3.552713678800501e-15
112940,2012,State Representative,4th Bristol,-22.82809611829944,-22.828096118299445,-3.552713678800501e-15
126286,2014,State Representative,10th Worcester,17.8459866902078,17.845986690207795,-3.552713678800501e-15
112900,2012,State Representative,5th Plymouth,15.743427219568806,15.74342721956881,3.552713678800501e-15
112860,2012,State Representative,6th Worcester,-10.98239376039456,-10.982393760394563,-3.552713678800501e-15
112701,2012,State Representative,7th Plymouth,-8.476256567859618,-8.476256567859622,-3.552713678800501e-15
126237,2014,State Representative,6th Worcester,-25.87290502793296,-25.872905027932962,-3.552713678800501e-15
126333,2014,State Representative,4th Hampden,17.816369191188297,17.816369191188294,-3.552713678800501e-15
