target_id,election_date,office,district,district_display,dem_candidate_id,dem_candidate_name,comparison_candidate_id,comparison_candidate_name,comparison_candidate_party,incumbent_status,PVI_N,pvi_year,redistricting_cycle,pvi_coverage,pvi_interpolated_share,pvi_provenance,ballot_timing,money_complete_60d,money_complete_14d,candidate_source,candidate_source_digest,candidate_data_as_of,pvi_source,pvi_source_digest,comparison_rule,comparison_review_status,dem_nominee_basis,dem_nominee_review_status,comparison_nominee_basis,comparison_nominee_review_status
a95c78c7b5c43a4dcc42,2026-11-03,State Representative,Second Norfolk,2nd Norfolk,sec-da4e2c93dd52867830a0,Tackey Chan,sec-a1c27c451d70f7eca26e,Sharon Marie Cintolo,Republican,Dem_Incumbent,15.204150192062936,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
d1f8fdaa64ca40723b27,2026-11-03,State Representative,Second Plymouth,2nd Plymouth,sec-9bd8a3afb6e6c410939c,Sarah G. Hewins,sec-c7ac6e2f4795f31c599d,John Robert Gaskey,Republican,GOP_Incumbent,-1.824453091888806,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,final_primary_nominee,confirmed_final_primary
c9dec6cb90f7f452c3fe,2026-11-03,State Representative,Seventh Bristol,7th Bristol,sec-6f62dba6886c894d5e2b,Alan Silvia,sec-c5a631b96aa73f5e23b3,Talos D. Farris,Republican,Dem_Incumbent,0.550409256200601,2024,2021,1,0.387295084464317,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
aedc3f1ee3127619b8ca,2026-11-03,State Representative,Seventh Plymouth,7th Plymouth,sec-33e7bb3718ca4c4cfc5f,Rosemary Aahanna-Hill,sec-f9bcc4def7582a02ab35,Alyson M. Sullivan-Almeida,Republican,GOP_Incumbent,-0.26123607103129,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
099db511f8d0c2e3caaf,2026-11-03,State Representative,Seventh Worcester,7th Worcester,sec-162cd9f82c481220e8b9,Nicholas Lazzaro,sec-871b8ec8fbcfdd83d550,Paul K. Frost,Republican,GOP_Incumbent,0.769330946971325,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
25923f748fac83e2fc64,2026-11-03,State Representative,Sixteenth Middlesex,16th Middlesex,sec-42ca470b964d52f1da30,Lorena G. Betts,sec-1dddcd2af6e751814b62,Karla J. Miller,Republican,No_Incumbent,12.685195955352558,2024,2021,1,0.604937565642488,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,final_primary_nominee,confirmed_final_primary,uncontested_primary,not_required_uncontested_primary
032709efd72c30ac75e8,2026-11-03,State Representative,Sixth Bristol,6th Bristol,sec-54e437fb5f52cfd4145f,Carole A. Fiola,sec-21402864082d929afd1a,Robert G. Anctil,Republican,Dem_Incumbent,3.061737498393524,2024,2021,1,0.525674644786094,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
e9b017cf1af95cfd33d9,2026-11-03,State Representative,Sixth Plymouth,6th Plymouth,sec-bde430b86971f2b8c85c,Jessica Marie Rushing,sec-3395d80f5261bf569b59,Kenneth Peter Sweezey,Republican,GOP_Incumbent,3.965481111090774,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
e9bb91441b70f7f7f934,2026-11-03,State Representative,Sixth Worcester,6th Worcester,sec-3b702091394487833533,Jeanne Renaud Costello,sec-797cf202d20ce2e85fab,"John J. Marsi, Jr.",Republican,GOP_Incumbent,-2.472545046727415,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
9787c5be19cfa1dd5dbf,2026-11-03,State Representative,Tenth Bristol,10th Bristol,sec-7b48d030191b62f98a73,Mark D. Sylvia,sec-72824526342b709b8ebd,Brendalee A. Smith,Republican,Dem_Incumbent,2.367992444495015,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,final_primary_write_in_nominee,confirmed_final_primary_result_only
2df1d2ecdae63cf48753,2026-11-03,State Representative,Third Barnstable,3rd Barnstable,sec-668ab351701f142e5760,Jack Peter Richardson,sec-9f597820fab6841db4b1,David T. Vieira,Republican,GOP_Incumbent,8.990652169160962,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
11407261b9509437f850,2026-11-03,State Representative,Third Bristol,3rd Bristol,sec-ab2e9138bc4836eb98c1,Lisa M. Field,sec-7d220d22bbdfbd43d2ec,Lawrence Joseph Quintal,Republican,Dem_Incumbent,4.911678476219961,2024,2021,1,0.13562640763944,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,final_primary_nominee,confirmed_final_primary,uncontested_primary,not_required_uncontested_primary
