target_id,election_date,election_year,office,district,district_display,is_special,role,candidate_id,candidate,cpf_id,filer_name,match_rule,filers_considered,roster_source,roster_error,horizon,window_start,cutoff,available,receipts_cache_identity,receipts,receipts_items,expenditures_cache_identity,expenditures,expenditures_items,race_complete
d02efb0ecffec059daf7,2026-11-03,2026,State Representative,Ninth Plymouth,9th Plymouth,False,opp,sec-dd914cf7bf56a026c1c8,Lawrence Peter Novak,10633,"Novak, Lawrence",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__fae5011c470531fb5839.json,167842.68,263,cache/ocpf/search_items__f2cb59377c05e397cf65.json,188112.82,392,True
f42b16bd5a6858a479d1,2026-11-03,2026,State Representative,Second Essex,2nd Essex,False,dem,sec-8a9d5d073dbe5e890726,Kristin Elena Kassner,17935,"Kassner, Kristin",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__c62ad6410f005aab13a2.json,40401.0,293,cache/ocpf/search_items__0d13d805a1cfc0640e4d.json,29289.43,97,True
f42b16bd5a6858a479d1,2026-11-03,2026,State Representative,Second Essex,2nd Essex,False,opp,sec-ed5be750593412630c68,Daniel James Kelly,19818,"Kelly, Daniel",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__dd1e82e28d956cba8ca4.json,54388.56,100,cache/ocpf/search_items__43895ff6651f965a2ac5.json,39007.22,168,True
093aa84b6cef83f21486,2026-11-03,2026,State Representative,Second Hampden,2nd Hampden,False,dem,sec-95876d788b18b42fd57b,Brian Michael Ashe,14543,"Ashe, Brian M.",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__2511c9e7ca802c511d27.json,12621.31,71,cache/ocpf/search_items__1e82b5c29278646a3c70.json,5216.26,43,True
093aa84b6cef83f21486,2026-11-03,2026,State Representative,Second Hampden,2nd Hampden,False,opp,sec-7883b44428f7a015d6a8,Peter Warren,19442,"Warren, Peter",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8e2977c24a5991fbb455.json,28339.46,119,cache/ocpf/search_items__7f31b4111c69f9f0eea4.json,13598.44,90,True
a95c78c7b5c43a4dcc42,2026-11-03,2026,State Representative,Second Norfolk,2nd Norfolk,False,dem,sec-da4e2c93dd52867830a0,Tackey Chan,15123,"Chan, Tackey",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__0570da488828f518c3a0.json,118979.99,385,cache/ocpf/search_items__e9a496b3ff1f2f4bea2b.json,53672.7,172,True
a95c78c7b5c43a4dcc42,2026-11-03,2026,State Representative,Second Norfolk,2nd Norfolk,False,opp,sec-a1c27c451d70f7eca26e,Sharon Marie Cintolo,18093,"Cintolo, Sharon",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__bc7187e0d1b250e848c8.json,1258.83,12,cache/ocpf/search_items__3e4db6db6dc0ab5843c5.json,1637.77,5,True
d1f8fdaa64ca40723b27,2026-11-03,2026,State Representative,Second Plymouth,2nd Plymouth,False,dem,sec-9bd8a3afb6e6c410939c,Sarah G. Hewins,16458,"Hewins, Sarah G.",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__7255549c55932711352a.json,13905.0,36,cache/ocpf/search_items__1575be2861c1250a6c82.json,12877.13,138,True
d1f8fdaa64ca40723b27,2026-11-03,2026,State Representative,Second Plymouth,2nd Plymouth,False,opp,sec-c7ac6e2f4795f31c599d,John Robert Gaskey,18885,"Gaskey, John",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__d8fe909acc566157dd68.json,15534.89,134,cache/ocpf/search_items__8553e407617767cd3286.json,18627.09,92,True
c9dec6cb90f7f452c3fe,2026-11-03,2026,State Representative,Seventh Bristol,7th Bristol,False,dem,sec-6f62dba6886c894d5e2b,Alan Silvia,15060,"Silvia, Alan",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__b7bb7488744361fcd4c3.json,26498.49,133,cache/ocpf/search_items__5338c8034f37761d1e98.json,23813.88,100,True
c9dec6cb90f7f452c3fe,2026-11-03,2026,State Representative,Seventh Bristol,7th Bristol,False,opp,sec-c5a631b96aa73f5e23b3,Talos D. Farris,19684,"Farris, Talos",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8f3fe7473e69f13f8d66.json,5285.0,62,cache/ocpf/search_items__00240ff56941ca43a922.json,5079.43,40,True
aedc3f1ee3127619b8ca,2026-11-03,2026,State Representative,Seventh Plymouth,7th Plymouth,False,dem,sec-33e7bb3718ca4c4cfc5f,Rosemary Aahanna-Hill,19787,"Aahanna-Hill, Rosemary",multiword-surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__7e9b6bcf421424ad5736.json,4400.17,53,cache/ocpf/search_items__b8d969d626df3f2b1402.json,3130.84,38,True
aedc3f1ee3127619b8ca,2026-11-03,2026,State Representative,Seventh Plymouth,7th Plymouth,False,opp,sec-f9bcc4def7582a02ab35,Alyson M. Sullivan-Almeida,16980,"Sullivan-Almeida, Alyson",multiword-surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__0c2d60757a73ce9e88d4.json,15685.0,89,cache/ocpf/search_items__cc69d6d33cbfae2e634b.json,6785.33,29,True
099db511f8d0c2e3caaf,2026-11-03,2026,State Representative,Seventh Worcester,7th Worcester,False,dem,sec-162cd9f82c481220e8b9,Nicholas Lazzaro,19564,"Lazzaro, Nicholas",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__830805ecf8168187c83d.json,36303.36,201,cache/ocpf/search_items__1903f846b0e555070554.json,23158.25,59,True
099db511f8d0c2e3caaf,2026-11-03,2026,State Representative,Seventh Worcester,7th Worcester,False,opp,sec-871b8ec8fbcfdd83d550,Paul K. Frost,13110,"Frost, Paul K.",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8e259217884063a2b13e.json,83813.0,261,cache/ocpf/search_items__c1c7fe602f101b20f98c.json,22372.52,113,True
25923f748fac83e2fc64,2026-11-03,2026,State Representative,Sixteenth Middlesex,16th Middlesex,False,dem,sec-42ca470b964d52f1da30,Lorena G. Betts,19424,"Betts, Lorena",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__610342e6ded1008a8f2e.json,50948.54,474,cache/ocpf/search_items__2bd6719ab7c6eda091d7.json,44211.98,246,True
25923f748fac83e2fc64,2026-11-03,2026,State Representative,Sixteenth Middlesex,16th Middlesex,False,opp,sec-1dddcd2af6e751814b62,Karla J. Miller,18096,"Miller, Karla",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__9ab967c057df9fe9e646.json,5282.93,38,cache/ocpf/search_items__b14da8ab3331617ca330.json,2794.51,19,True
032709efd72c30ac75e8,2026-11-03,2026,State Representative,Sixth Bristol,6th Bristol,False,dem,sec-54e437fb5f52cfd4145f,Carole A. Fiola,13597,"Fiola, Carole",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__cf45d25217067ee56158.json,75664.4,367,cache/ocpf/search_items__410b80fd3a34e7f261be.json,43702.221,222,True
032709efd72c30ac75e8,2026-11-03,2026,State Representative,Sixth Bristol,6th Bristol,False,opp,sec-21402864082d929afd1a,Robert G. Anctil,19765,"Anctil, Robert",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__100dac96be5c67cbe19d.json,47079.4,7,cache/ocpf/search_items__d9858e9e997df1d3c95c.json,44684.05,44,True
e9b017cf1af95cfd33d9,2026-11-03,2026,State Representative,Sixth Plymouth,6th Plymouth,False,dem,sec-bde430b86971f2b8c85c,Jessica Marie Rushing,19740,"Rushing, Jessica",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__2aa05347b2acbf629746.json,47746.1,300,cache/ocpf/search_items__d08476c0f2469f53e268.json,24161.15,54,True
e9b017cf1af95cfd33d9,2026-11-03,2026,State Representative,Sixth Plymouth,6th Plymouth,False,opp,sec-3395d80f5261bf569b59,Kenneth Peter Sweezey,17882,"Sweezey, Kenneth",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__c1bc738705a195dcdf78.json,36874.14,226,cache/ocpf/search_items__dfb8ac2539277dd1ac6e.json,20851.49,130,True
e9bb91441b70f7f7f934,2026-11-03,2026,State Representative,Sixth Worcester,6th Worcester,False,dem,sec-3b702091394487833533,Jeanne Renaud Costello,18729,"Costello, Jeanne",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__90a65f4c38ecac2f474e.json,1000.0,1,cache/ocpf/search_items__3af571864913a2c65f76.json,0.0,0,True
e9bb91441b70f7f7f934,2026-11-03,2026,State Representative,Sixth Worcester,6th Worcester,False,opp,sec-797cf202d20ce2e85fab,"John J. Marsi, Jr.",18678,"Marsi, John",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8696e36f85cf4d526b1e.json,12240.46,79,cache/ocpf/search_items__b07c429ec514f6b6ebd6.json,3707.86,67,True
9787c5be19cfa1dd5dbf,2026-11-03,2026,State Representative,Tenth Bristol,10th Bristol,False,dem,sec-7b48d030191b62f98a73,Mark D. Sylvia,18788,"Sylvia, Mark",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__360e1bbca872f8d0dac9.json,72132.6,582,cache/ocpf/search_items__419ad4b37c00cc081a5c.json,66455.42,144,True
9787c5be19cfa1dd5dbf,2026-11-03,2026,State Representative,Tenth Bristol,10th Bristol,False,opp,sec-72824526342b709b8ebd,Brendalee A. Smith,19881,"Smith, Brendalee",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__44bcd9d99683f210d2a1.json,0.0,0,cache/ocpf/search_items__9035164af691fb3314c5.json,0.0,0,True
2df1d2ecdae63cf48753,2026-11-03,2026,State Representative,Third Barnstable,3rd Barnstable,False,dem,sec-668ab351701f142e5760,Jack Peter Richardson,19220,"Richardson, Jack",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__0f2d496b9cff9dcecb41.json,54442.11,403,cache/ocpf/search_items__771eb3f156328a1a955e.json,29339.01,107,True
2df1d2ecdae63cf48753,2026-11-03,2026,State Representative,Third Barnstable,3rd Barnstable,False,opp,sec-9f597820fab6841db4b1,David T. Vieira,15025,"Vieira, David T.",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__7c371bffa6cf013ca37d.json,19440.0,94,cache/ocpf/search_items__ec8b04e4977c1acde341.json,16058.47,125,True
11407261b9509437f850,2026-11-03,2026,State Representative,Third Bristol,3rd Bristol,False,dem,sec-ab2e9138bc4836eb98c1,Lisa M. Field,19052,"Field, Lisa",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__ca4fcaabb768a28fd776.json,53523.1,422,cache/ocpf/search_items__3d87f641812cb60a8284.json,27651.0,134,True
11407261b9509437f850,2026-11-03,2026,State Representative,Third Bristol,3rd Bristol,False,opp,sec-7d220d22bbdfbd43d2ec,Lawrence Joseph Quintal,19080,"Quintal, Lawrence",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__0587dda02e941615e0bc.json,38145.0,246,cache/ocpf/search_items__d1a847b506bf820d7651.json,25484.78,46,True
4fb8ac744f4929106f85,2026-11-03,2026,State Representative,Third Hampden,3rd Hampden,False,dem,sec-436cbb7aa99a60be7e1f,Thomas D. Hendrickson,19450,"Hendrickson, Thomas",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__ad34c3581f6a40a5ee51.json,15642.07,139,cache/ocpf/search_items__1b8e39773e40c62fa00f.json,7396.35,46,True
