variant,parameter,mean,sd,eti89_lb,eti89_ub,fold,definition,component,fold_schedule
special_pooled_term,sigma,14.617187,0.601507,13.688428,15.598072,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-5.792318,2.031623,-9.004565,-2.545056,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.744647,0.096639,1.58864,1.897833,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,13.656069,2.124145,10.307055,17.021602,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-20.588006,3.208954,-25.600062,-15.515422,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.106771,1.996068,7.879382,14.274657,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,is_special,4.444185,3.885937,-1.888725,10.718381,2015-11-03,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.594614,0.614385,13.664267,15.611742,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-5.740054,2.049711,-8.988707,-2.47385,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.742078,0.094284,1.592602,1.893912,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,13.627765,2.129377,10.299753,17.028314,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-20.72157,3.252632,-25.894648,-15.481167,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.106301,2.002176,7.926257,14.259926,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,is_special,4.73588,3.722269,-1.19594,10.606158,2016-03-01,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.574326,0.605334,13.638438,15.573115,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-5.737899,2.043396,-9.03561,-2.470569,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.741327,0.097686,1.584724,1.896984,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,13.631978,2.115608,10.268892,16.997307,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-20.721276,3.216142,-25.920768,-15.628558,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.104619,1.983929,7.917721,14.336231,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,is_special,4.717193,3.641333,-1.072191,10.457098,2016-05-10,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.54286,0.600486,13.627489,15.553045,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-5.748742,2.055981,-9.003498,-2.428762,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.742086,0.095497,1.590088,1.896269,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,13.628233,2.14853,10.205933,17.077397,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-20.688399,3.254991,-25.904744,-15.577288,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.127917,2.017549,7.927165,14.348494,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,is_special,4.623969,3.533766,-0.997742,10.211154,2016-11-08,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.382264,0.546668,13.526341,15.265678,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.862324,1.903352,-7.916951,-1.802329,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.616121,0.084486,1.479406,1.751967,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.135003,1.992503,10.957276,17.316884,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.713283,2.718145,-27.118937,-18.403792,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.288182,1.65086,8.660482,13.918547,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,is_special,5.346074,3.472778,-0.318707,10.803813,2017-07-25,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.714883,0.55657,13.857948,15.619316,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.814802,1.948239,-7.92781,-1.786178,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.614065,0.084756,1.479165,1.749348,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.094542,2.036856,10.847002,17.357594,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.815702,2.829676,-27.279895,-18.280556,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.29903,1.71388,8.550573,14.048489,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,is_special,7.826725,3.469086,2.178229,13.404547,2017-10-17,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.695868,0.549217,13.863025,15.582293,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.853894,1.926694,-7.932537,-1.783357,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.617931,0.085124,1.47922,1.754714,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.119598,1.974852,10.973162,17.273637,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.76747,2.772285,-27.163816,-18.353974,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.257221,1.71523,8.542651,14.010698,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,is_special,7.841804,3.439272,2.34618,13.413629,2017-11-07,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.68984,0.551778,13.831185,15.582319,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.852871,1.909399,-7.89874,-1.837617,2017-12-05,current,,election_date>=2014-01-01
