definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
current,baseline_spend_logratio,0.3-0.4,0.3,0.4,10,False,0.354412,0.4,election_date>=2014-01-01
current,baseline_spend_logratio,0.4-0.5,0.4,0.5,9,True,0.456556,0.666667,election_date>=2014-01-01
current,baseline_spend_logratio,0.5-0.6,0.5,0.6,20,False,0.550225,0.75,election_date>=2014-01-01
current,baseline_spend_logratio,0.6-0.7,0.6,0.7,18,False,0.667674,0.833333,election_date>=2014-01-01
current,baseline_spend_logratio,0.7-0.8,0.7,0.8,31,False,0.746923,0.935484,election_date>=2014-01-01
current,baseline_spend_logratio,0.8-0.9,0.8,0.9,33,False,0.852178,0.939394,election_date>=2014-01-01
current,baseline_spend_logratio,0.9-1.0,0.9,1.0,189,False,0.976767,0.989418,election_date>=2014-01-01
current,baseline_spend_diff,0.0-0.1,0.0,0.1,51,False,0.04764,0.019608,election_date>=2014-01-01
current,baseline_spend_diff,0.1-0.2,0.1,0.2,24,False,0.148177,0.041667,election_date>=2014-01-01
current,baseline_spend_diff,0.2-0.3,0.2,0.3,21,False,0.237792,0.285714,election_date>=2014-01-01
current,baseline_spend_diff,0.3-0.4,0.3,0.4,12,False,0.351365,0.416667,election_date>=2014-01-01
current,baseline_spend_diff,0.4-0.5,0.4,0.5,9,True,0.462653,0.555556,election_date>=2014-01-01
current,baseline_spend_diff,0.5-0.6,0.5,0.6,15,False,0.551925,0.733333,election_date>=2014-01-01
current,baseline_spend_diff,0.6-0.7,0.6,0.7,23,False,0.658223,0.782609,election_date>=2014-01-01
current,baseline_spend_diff,0.7-0.8,0.7,0.8,34,False,0.747676,0.941176,election_date>=2014-01-01
current,baseline_spend_diff,0.8-0.9,0.8,0.9,50,False,0.852098,0.9,election_date>=2014-01-01
current,baseline_spend_diff,0.9-1.0,0.9,1.0,170,False,0.971925,1.0,election_date>=2014-01-01
current,baseline_spend_both,0.0-0.1,0.0,0.1,56,False,0.036078,0.017857,election_date>=2014-01-01
current,baseline_spend_both,0.1-0.2,0.1,0.2,25,False,0.15526,0.08,election_date>=2014-01-01
current,baseline_spend_both,0.2-0.3,0.2,0.3,18,False,0.2405,0.222222,election_date>=2014-01-01
current,baseline_spend_both,0.3-0.4,0.3,0.4,10,False,0.353462,0.4,election_date>=2014-01-01
current,baseline_spend_both,0.4-0.5,0.4,0.5,9,True,0.454389,0.555556,election_date>=2014-01-01
current,baseline_spend_both,0.5-0.6,0.5,0.6,20,False,0.552387,0.8,election_date>=2014-01-01
current,baseline_spend_both,0.6-0.7,0.6,0.7,17,False,0.668537,0.764706,election_date>=2014-01-01
current,baseline_spend_both,0.7-0.8,0.7,0.8,34,False,0.749221,0.970588,election_date>=2014-01-01
current,baseline_spend_both,0.8-0.9,0.8,0.9,33,False,0.855648,0.939394,election_date>=2014-01-01
current,baseline_spend_both,0.9-1.0,0.9,1.0,187,False,0.977227,0.989305,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.0-0.1,0.0,0.1,60,False,0.039927,0.016667,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.1-0.2,0.1,0.2,17,False,0.158029,0.058824,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.2-0.3,0.2,0.3,22,False,0.245523,0.272727,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.3-0.4,0.3,0.4,12,False,0.36651,0.333333,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.4-0.5,0.4,0.5,5,True,0.4647,0.8,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.5-0.6,0.5,0.6,15,False,0.548508,0.666667,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.6-0.7,0.6,0.7,23,False,0.656799,0.826087,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.7-0.8,0.7,0.8,31,False,0.757105,0.935484,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.8-0.9,0.8,0.9,36,False,0.856747,0.944444,election_date>=2014-01-01
current,baseline_spend_logratio_wide,0.9-1.0,0.9,1.0,188,False,0.974273,0.989362,election_date>=2014-01-01
